"22.04 10:54:56,736|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:56,750|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:56,750|" handle_new_id hat status: 826te Nachricht erstellt. 
"22.04 10:54:56,750|" write_new_message hat status: started. 
"22.04 10:54:56,750|" drop_message hat status: started. 
"22.04 10:54:56,750|" loop_redakteur hat status: start. 
"22.04 10:54:56,750|" getmsgid hat status: started. 
"22.04 10:54:57,718|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:57,734|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:57,734|" handle_new_id hat status: 849te Nachricht erstellt. 
"22.04 10:54:57,734|" write_new_message hat status: started. 
"22.04 10:54:57,734|" drop_message hat status: started. 
"22.04 10:54:57,734|" loop_redakteur hat status: start. 
"22.04 10:54:57,734|" getmsgid hat status: started. 
"22.04 10:54:58,623|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:58,639|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:58,639|" handle_new_id hat status: 870te Nachricht erstellt. 
"22.04 10:54:58,639|" write_new_message hat status: started. 
"22.04 10:54:58,639|" drop_message hat status: started. 
"22.04 10:54:58,639|" loop_redakteur hat status: start. 
"22.04 10:54:58,639|" getmsgid hat status: started. 
"22.04 10:54:59,294|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:59,310|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:59,310|" handle_new_id hat status: 893te Nachricht erstellt. 
"22.04 10:54:59,310|" write_new_message hat status: started. 
"22.04 10:54:59,310|" drop_message hat status: started. 
"22.04 10:54:59,310|" loop_redakteur hat status: start. 
"22.04 10:54:59,310|" getmsgid hat status: started. 
"22.04 10:55:00,090|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:00,105|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:00,105|" loop_redakteur hat status: Wechsel zu Leser, Nachrichtnummer: 915 'vergessen' zu senden. 
"22.04 10:55:00,105|" calcNewIntervall hat status: started. 
"22.04 10:55:00,105|" calcNewIntervall hat status: New: 0. 
"22.04 10:55:00,105|" calcNewIntervall hat status: Result: 2. 
"22.04 10:55:00,105|" loop_leser hat status: start. 
"22.04 10:55:00,105|" getmessage hat status: started. 
"22.04 10:55:00,761|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 0, Termi: true. 
"22.04 10:55:00,761|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:55:00,761|" loop_redakteur hat status: start. 
"22.04 10:55:00,761|" getmsgid hat status: started. 
"22.04 10:55:01,603|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:01,619|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:01,619|" handle_new_id hat status: 952te Nachricht erstellt. 
"22.04 10:55:01,619|" write_new_message hat status: started. 
"22.04 10:55:01,619|" drop_message hat status: started. 
"22.04 10:55:01,619|" loop_redakteur hat status: start. 
"22.04 10:55:01,619|" getmsgid hat status: started. 
"22.04 10:55:02,274|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:02,288|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:02,288|" handle_new_id hat status: 977te Nachricht erstellt. 
"22.04 10:55:02,288|" write_new_message hat status: started. 
"22.04 10:55:02,288|" drop_message hat status: started. 
"22.04 10:55:02,288|" loop_redakteur hat status: start. 
"22.04 10:55:02,288|" getmsgid hat status: started. 
"22.04 10:55:03,069|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:55:03,085|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:55:03,085|" handle_new_id hat status: 999te Nachricht erstellt. 
"22.04 10:55:03,085|" write_new_message hat status: started. 
"22.04 10:55:03,085|" drop_message hat status: started. 
